ticker_sym,qty,purchased_at,cost_per_share,cost
PONPX,3.114,2021-02-26,11.94,37.19
PONPX,156.895,2021-02-01,12.15,1906.85
PONPX,2.577,2021-01-29,11.99,30.91
PONPX,156.895,2021-01-04,12.12,1900.79
PONPX,2.069,2020-12-31,11.99,24.8
PONPX,158.333,2020-12-01,11.99,1898.08
PONPX,1.57,2020-11-30,11.82,18.56
PONPX,162.254,2020-11-02,11.68,1894.97
PONPX,1.063,2020-10-30,11.53,12.26
PONPX,161.978,2020-10-01,11.68,1892.43
PONPX,0.52,2020-09-30,11.52,5.99
PONPX,161.427,2020-09-01,11.71,1889.99
PRBLX,4.509,2021-12-22,62.54,281.99
PRBLX,50.335,2021-11-18,62.85,3163.55
PRBLX,0.661,2021-09-30,61.62,40.73
PRBLX,0.718,2021-06-30,61.57,44.21
PRBLX,76.963,2021-04-01,58.21,4480.0
PRBLX,0.484,2021-03-31,57.42,27.79
PRBLX,40.873,2021-03-01,56.1,2293.0
PRBLX,94.2,2021-02-01,53.79,5067.0
PRBLX,95.676,2021-01-04,52.96,5067.0
PRBLX,0.659,2020-12-17,53.23,35.08
PRBLX,96.404,2020-12-01,52.56,5067.0
PRBLX,16.356,2020-11-19,51.44,841.36
PRBLX,100.816,2020-11-02,50.26,5067.0
PRBLX,98.58,2020-10-01,51.4,5067.0
PRBLX,0.094,2020-09-30,51.28,4.82
PRBLX,96.587,2020-09-01,52.45,5066.0
SMCFX,23.793,2021-12-17,79.14,1883.01
SMCFX,26.168,2021-04-01,85.75,2244.0
SMCFX,19.763,2021-03-01,87.94,1738.0
SMCFX,30.245,2021-02-01,83.88,2537.0
SMCFX,31.341,2021-01-04,80.95,2537.0
SMCFX,2.301,2020-12-18,80.16,184.45
SMCFX,33.22,2020-12-01,76.37,2537.0
SMCFX,37.727,2020-11-02,67.25,2537.0
SMCFX,37.005,2020-10-01,68.56,2537.0
SMCFX,36.828,2020-09-01,68.89,2537.0
WGIFX,2.438,2021-12-15,61.51,149.97
WGIFX,2.718,2021-12-15,61.5,167.16
WGIFX,53.858,2021-12-15,61.51,3312.79
WGIFX,3.585,2021-09-14,66.16,237.2
WGIFX,5.865,2021-06-15,65.38,383.46
WGIFX,107.554,2021-04-01,62.52,6724.0
WGIFX,3.358,2021-03-16,61.94,207.98
WGIFX,55.728,2021-03-01,61.78,3443.0
WGIFX,126.099,2021-02-01,60.3,7604.0
WGIFX,128.835,2021-01-04,59.02,7604.0
WGIFX,1.595,2020-12-16,58.11,92.68
WGIFX,131.944,2020-12-01,57.63,7604.0
WGIFX,148.293,2020-11-02,51.28,7604.0
WGIFX,145.51,2020-10-01,52.26,7604.0
WGIFX,0.627,2020-09-15,52.34,32.82
WGIFX,140.793,2020-09-01,54.01,7604.0
YACKX,7.825,2021-12-15,23.9,187.01
YACKX,15.92,2021-12-15,23.9,380.49
YACKX,29.868,2021-12-15,23.9,713.85
YACKX,144.144,2021-04-01,23.44,3379.0
YACKX,76.028,2021-03-01,22.86,1738.0
YACKX,178.069,2021-02-01,21.45,3819.0
YACKX,179.839,2021-01-04,21.24,3819.0
YACKX,10.131,2020-12-16,20.81,210.83
YACKX,72.375,2020-12-16,20.81,1506.12
YACKX,169.416,2020-12-01,22.54,3819.0
YACKX,193.581,2020-11-02,19.73,3819.0
YACKX,193.188,2020-10-01,19.77,3819.0
YACKX,190.381,2020-09-01,20.06,3819.0
